username,userid,profile_location,created_at,text,retweet_count,source,coordinates
"Truth Violates ""Community Guidelines""",1481812951384219648,"Los Angeles, CA",2023-01-21 00:12:14,"@SenAlexPadilla @POTUS Translation: Hi TWTR, i'm  Just doing some PR work for Governor Newsome because we want to g… https://t.co/WEucM0nB2c",0,Twitter Web App,
T,25392759,Los Angeles,2023-01-21 00:09:48,@angermeier_w @POTUS History was made by @POTUS and his son both simultaneously being federally investigated. I enc… https://t.co/vNRtx5TG5d,0,Twitter for iPhone,
David Bethany,434630241,"L.A., Central Coast of CA ",2023-01-21 00:08:23,"@MayorOfLA @POTUS Mayor Bass, please keep your focus on L.A.'s huge problems, especially the homeless. Leave the na… https://t.co/cn2i7QgRV4",0,Twitter for Android,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-21 00:08:05,San Diego has found success in housing homeless people through an emergency housing voucher program. The key to the… https://t.co/cDtTlcT6pZ,3,Agorapulse app,
Super Beaner Fe/Fi/Fo/Fum,2745611,East Los Angeles,2023-01-21 00:01:18,"Watching #HatchetWieldingHitchhiker  

During my 30yrs working w/ homeless Ive worked with so many people that remi… https://t.co/B7UN31Gjr6",0,Twitter for Android,
Venice Siren,16069499,"Venice, CA",2023-01-21 00:00:51,@CC666420 @KateCagle @MayorOfLA @SpecNews1SoCal I didn’t fault homeless people.,0,Twitter for iPad,
Optimus Dad,1585168739242192896,"Los Angeles, CA",2023-01-21 00:00:14,"@SophiaBarocca @KevinKileyCA Here’s a crazy idea:  stop doing the horrible things the article mentions, like lettin… https://t.co/0dSyb3LKxL",0,Twitter for iPhone,
St. Joseph Center,2372923580,"Venice, CA",2023-01-21 00:00:09,Thank you @hiltonfound for supporting the Homeless Count! We need everyone who is able to turn out and help next we… https://t.co/YHKIVcKNOx,0,Twitter for Android,
NewsfeedsMedia,1007725923720835072,"Los Angeles, CA",2023-01-20 23:55:10,"LA restaurant owner Angela Marsden asks: 'Where are our tax dollars going?' amid homeless crisis
https://t.co/QEB7JSpe0J",1,Next Newsfeeds.media,
Liam Dillon,32186559,"Los Angeles, CA",2023-01-20 23:38:00,@ryanjbell @sherlyholmes I've been covering habitability problems at a large apartment complex in South L.A. for ne… https://t.co/yZSRRIUHhg,0,TweetDeck,
Gary Joseph,2153500562,Los Angeles,2023-01-20 23:31:19,A Michigan pastor Gerald Johnson had a heart attack going to hell in 2016: A man was walking on all 4s like a dog g… https://t.co/11Z8Rf97pV,0,Twitter Web App,
Resident Relief Foundation,852645958999457792,"Los Angeles, CA",2023-01-20 23:28:06,Los Angeles was going to let a disabled Veteran become homeless when they have the worst homeless situation in any… https://t.co/Ek1DV1gPob,0,Twitter for Android,
Sung Gjestrum,3063782755,"Los Angeles, CA",2023-01-20 23:27:09,"If more organizations implemented what AHF Healthy Housing Foundation has been doing in the last 5 years, utilizing… https://t.co/sfzXYU0ew9",0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-20 23:12:06,Michael had a breakdown. He is an alcoholic and he used to abuse drugs. The effects were devastating. His family di… https://t.co/3fm1ce6dLV,3,Agorapulse app,
